Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
299000.0,Rixensart,House,MIXED_USE_BUILDING,4.0,230.0,0,0.0,1,1.0,,1.0,,795.0,3.0,0.0,TO_RESTORE
210000.0,Maisières,House,VILLA,2.0,138.0,0,0.0,0,,,,,590.0,4.0,0.0,TO_RENOVATE
495000.0,Overijse,Apartment,DUPLEX,3.0,183.0,1,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
255000.0,Stabroek,Apartment,APARTMENT,2.0,85.0,0,0.0,0,1.0,,,,,,0.0,JUST_RENOVATED
3300000.0,Bruxelles,House,MIXED_USE_BUILDING,0.0,600.0,0,0.0,0,,,,,0.0,2.0,0.0,AS_NEW
2185000.0,Brasschaat,House,VILLA,7.0,659.0,1,0.0,"(2,)",1.0,,1.0,,2484.0,4.0,0.0,JUST_RENOVATED
525000.0,Auderghem,Apartment,APARTMENT,3.0,190.0,1,0.0,0,1.0,,,,,2.0,0.0,TO_BE_DONE_UP
595000.0,Knokke-Heist,Apartment,APARTMENT,2.0,55.0,1,0.0,0,,,,,,3.0,0.0,AS_NEW
199000.0,Heule (Kortrijk),House,HOUSE,5.0,252.0,0,0.0,0,,,,,185.0,2.0,0.0,
498000.0,Deurne (2100),Apartment,LOFT,2.0,225.0,1,0.0,0,1.0,,,,,,0.0,
235000.0,Hermée,House,HOUSE,3.0,115.0,0,0.0,0,1.0,,,,136.0,2.0,0.0,GOOD
129500.0,Rochefort,House,HOUSE,3.0,89.0,0,0.0,0,,,,,41.0,2.0,0.0,TO_BE_DONE_UP
360000.0,Herstal,House,HOUSE,3.0,150.0,1,0.0,0,1.0,,,,377.0,3.0,0.0,AS_NEW
139000.0,Menen,House,HOUSE,4.0,113.0,0,0.0,0,,,1.0,,69.0,2.0,0.0,GOOD
250000.0,Dendermonde,House,HOUSE,3.0,154.0,0,0.0,0,,,1.0,,340.0,3.0,0.0,TO_RENOVATE
325000.0,Oostende,House,TOWN_HOUSE,3.0,210.0,0,0.0,0,,,,,227.0,,0.0,GOOD
497000.0,Leuven,Apartment,DUPLEX,2.0,110.0,1,0.0,0,1.0,,1.0,,,4.0,0.0,
279000.0,Antwerpen,Apartment,APARTMENT,3.0,85.0,1,0.0,0,1.0,,,,,4.0,0.0,JUST_RENOVATED
189500.0,Nieuwkerke,House,HOUSE,3.0,198.0,0,0.0,0,,,,,220.0,4.0,0.0,AS_NEW
95000.0,Nassogne,Apartment,GROUND_FLOOR,1.0,34.0,0,0.0,0,1.0,,,,,,0.0,GOOD
125000.0,Wemmel,Apartment,FLAT_STUDIO,0.0,26.0,0,0.0,0,1.0,,,,,,0.0,
235000.0,Brakel,Apartment,LOFT,2.0,310.0,0,0.0,0,1.0,,,,,2.0,0.0,GOOD
740000.0,Schaerbeek,Apartment,APARTMENT,5.0,220.0,1,0.0,0,1.0,,,,,,0.0,TO_BE_DONE_UP
341500.0,Antwerpen,Apartment,APARTMENT,2.0,99.0,0,0.0,0,1.0,,,,,4.0,0.0,
134900.0,Gilly,House,HOUSE,2.0,91.0,0,0.0,0,1.0,,,,0.0,3.0,0.0,GOOD
165000.0,Péruwelz,House,HOUSE,3.0,175.0,0,0.0,0,,,,,450.0,2.0,0.0,GOOD
470000.0,Uccle,Apartment,DUPLEX,2.0,74.0,0,0.0,0,1.0,,1.0,,,1.0,0.0,AS_NEW
172000.0,Nieuwpoort,Apartment,APARTMENT,0.0,44.0,0,1.0,0,1.0,,,,,,0.0,
335000.0,Halle,Apartment,APARTMENT,1.0,61.0,0,1.0,0,1.0,,,,,2.0,0.0,GOOD
285000.0,Lebbeke,Apartment,GROUND_FLOOR,2.0,93.0,0,0.0,0,1.0,,1.0,,,2.0,0.0,AS_NEW
335000.0,Godinne,Apartment,APARTMENT,2.0,104.0,0,0.0,0,1.0,,,,,4.0,0.0,
209000.0,Bruxelles,Apartment,APARTMENT,3.0,75.0,0,0.0,0,1.0,,,,,2.0,0.0,GOOD
300000.0,Bruxelles,Apartment,FLAT_STUDIO,0.0,,0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
795000.0,Antwerpen (2018),House,HOUSE,5.0,302.0,0,0.0,0,1.0,,1.0,,117.0,,0.0,JUST_RENOVATED
398000.0,Roeselare,House,HOUSE,3.0,138.0,0,0.0,0,,,,,277.0,,0.0,GOOD
